FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018-01-01,UA,702,ORD,CLE,1751,-3.0,2010,33.0,48.0,316.0,0.0,0.0,33.0,0.0,0.0
2018-01-01,UA,700,SAN,LAX,1040,32.0,1148,20.0,24.0,109.0,0.0,0.0,0.0,0.0,20.0
2018-01-01,UA,688,ORD,BNA,2113,37.0,2245,24.0,56.0,409.0,0.0,14.0,0.0,0.0,10.0
2018-01-01,UA,687,EWR,IAH,1550,125.0,1850,111.0,200.0,1400.0,48.0,0.0,0.0,0.0,63.0
2018-01-01,UA,686,MCO,EWR,1133,39.0,1410,40.0,136.0,937.0,31.0,0.0,1.0,0.0,8.0
2018-01-01,UA,677,EWR,SAN,1950,46.0,2258,20.0,322.0,2425.0,20.0,0.0,0.0,0.0,0.0
2018-01-01,UA,665,SAT,IAH,953,-5.0,1055,18.0,36.0,191.0,0.0,0.0,18.0,0.0,0.0
2018-01-01,UA,662,SAN,SFO,735,-4.0,918,37.0,68.0,447.0,0.0,0.0,37.0,0.0,0.0
2018-01-01,UA,660,LAX,ORD,2320,41.0,516,38.0,205.0,1744.0,38.0,0.0,0.0,0.0,0.0
2018-01-01,UA,653,SFO,LAX,1152,36.0,1332,17.0,51.0,337.0,17.0,0.0,0.0,0.0,0.0
2018-01-01,UA,644,IAD,SFO,1448,113.0,1757,98.0,326.0,2419.0,98.0,0.0,0.0,0.0,0.0
2018-01-01,UA,638,IAH,ORD,735,181.0,1016,167.0,120.0,925.0,167.0,0.0,0.0,0.0,0.0
2018-01-01,UA,635,ORD,SEA,915,37.0,1150,32.0,233.0,1721.0,0.0,32.0,0.0,0.0,0.0
2018-01-01,UA,631,SFO,SNA,1041,209.0,1221,187.0,63.0,372.0,0.0,0.0,0.0,0.0,187.0
2018-01-01,UA,624,ORD,DCA,1806,13.0,2100,15.0,79.0,612.0,0.0,0.0,15.0,0.0,0.0
2018-01-01,UA,619,SEA,ORD,2300,22.0,456,16.0,211.0,1721.0,0.0,0.0,0.0,0.0,16.0
2018-01-01,UA,614,IAD,EWR,1241,44.0,1406,20.0,42.0,212.0,0.0,0.0,3.0,0.0,17.0
2018-01-01,UA,608,PDX,SFO,1110,93.0,1302,82.0,83.0,550.0,3.0,0.0,0.0,0.0,79.0
2018-01-01,UA,607,EWR,ATL,2110,7.0,2344,15.0,117.0,746.0,7.0,0.0,8.0,0.0,0.0
